size,threads,config,simple,strassen,simple_parallel,strassen_2layers,strassen_recursive,speedup_strassen,simple_vs_simple_parallel,strassen_vs_simple_parallel,strassen_vs_strassen_2layers,strassen_vs_strassen_recursive
256,1,1,0.041599,0.03889,0.022037,0.017048,0.022163,1.06965800977115,1.88768888687208,1.76475926850297,2.28120600656969,1.75472634571132
256,2,2,0.041599,0.03889,0.024838,0.020281,0.024829,1.06965800977115,1.67481278685885,1.56574603430228,1.91755830580346,1.56631358492086
256,5,3,0.041599,0.03889,0.01008,0.009829,0.010096,1.06965800977115,4.12688492063492,3.85813492063492,3.95665886661919,3.8520206022187
256,10,4,0.041599,0.03889,0.005119,0.006773,0.005049,1.06965800977115,8.12639187341278,7.59718695057629,5.74191643289532,7.70251534957417
256,20,5,0.041599,0.03889,0.002528,0.00686,0.003668,1.06965800977115,16.4553006329114,15.3837025316456,5.66909620991254,10.6025081788441
256,40,6,0.041599,0.03889,0.002655,0.010701,0.002605,1.06965800977115,15.6681732580038,14.6478342749529,3.63423979067377,14.9289827255278
256,60,7,0.041599,0.03889,0.001827,0.011805,0.001828,1.06965800977115,22.7690202517789,21.2862616310892,3.29436679373147,21.2746170678337
512,1,1,0.178971,0.121902,0.174998,0.129815,0.174297,1.46815474725599,1.02270311660705,0.696590818180779,0.939044024188268,0.699392416392709
512,2,2,0.178971,0.121902,0.130251,0.068715,0.08824,1.46815474725599,1.37404703226847,0.935900684063846,1.77402313905261,1.38148232094288
512,5,3,0.178971,0.121902,0.078586,0.029127,0.046918,1.46815474725599,2.27739037487593,1.55119232433258,4.185188999897,2.59819259132955
512,10,4,0.178971,0.121902,0.039698,0.032454,0.03928,1.46815474725599,4.50831276134818,3.07073404201723,3.75614716213718,3.10341140529532
512,20,5,0.178971,0.121902,0.020161,0.018905,0.020042,1.46815474725599,8.87708943008779,6.04642626853827,6.44813541391166,6.08232711306257
512,40,6,0.178971,0.121902,0.016079,0.019474,0.016755,1.46815474725599,11.1307295229803,7.58144163194229,6.25973092328233,7.27555953446732
512,60,7,0.178971,0.121902,0.013435,0.019789,0.013845,1.46815474725599,13.3212504652028,9.07346483066617,6.16008893829906,8.80476706392199
1024,1,1,1.398434,0.865305,1.389289,1.153132,1.310802,1.61611686052895,1.00658250371233,0.622840172203192,0.75039544475394,0.660134024818394
1024,2,2,1.398434,0.865305,0.971442,0.59304,0.695226,1.61611686052895,1.4395445121788,0.890742833849062,1.45910056657224,1.2446384341207
1024,5,3,1.398434,0.865305,0.553343,0.519771,0.526373,1.61611686052895,2.52724621075897,1.56377689787347,1.66478122096077,1.64390080798217
1024,10,4,1.398434,0.865305,0.144537,0.156175,0.248389,1.61611686052895,9.67526654074735,5.98673696008634,5.54061149351689,3.4836687614991
1024,20,5,1.398434,0.865305,0.158652,0.139069,0.112325,1.61611686052895,8.81447444721781,5.45410710233719,6.22212714551769,7.7035833518807
1024,40,6,1.398434,0.865305,0.117932,0.087206,0.112292,1.61611686052895,11.8579689990842,7.3373215073093,9.92253973350458,7.70584725536993
1024,60,7,1.398434,0.865305,0.103425,0.114793,0.10265,1.61611686052895,13.521237611796,8.36649746192894,7.53795963168486,8.42966390647833
2048,1,1,22.876949,6.082413,22.835169,8.832947,8.122751,3.76116337381233,1.00182963393001,0.266361637174658,0.688605173335694,0.748811948070303
2048,2,2,22.876949,6.082413,16.116812,4.814262,4.689911,3.76116337381233,1.41944628999829,0.377395541996767,1.26341545183872,1.29691437641354
2048,5,3,22.876949,6.082413,12.139358,3.293431,2.003903,3.76116337381233,1.88452708948859,0.50104898463329,1.84683176905786,3.03528314494264
2048,10,4,22.876949,6.082413,6.669412,1.164973,1.326636,3.76116337381233,3.43012982253908,0.91198639400295,5.22107636829351,4.58483939829765
2048,20,5,22.876949,6.082413,3.066279,0.761011,0.776335,3.76116337381233,7.46081781860033,1.98364630224451,7.99254281475563,7.83477880038901
2048,40,6,22.876949,6.082413,1.638119,0.562917,0.600192,3.76116337381233,13.9653767522384,3.71304709853191,10.8051684351334,10.1341120841331
2048,60,7,22.876949,6.082413,1.120326,0.711565,0.690698,3.76116337381233,20.4199036708958,5.42914562368454,8.54793729314961,8.80618302065447
4096,1,1,202.642639,43.223625,202.198639,69.27314,55.718552,4.68823794857558,1.00219586047758,0.213768130259274,0.623959372997961,0.775749251344507
4096,2,2,202.642639,43.223625,141.063492,35.97953,30.636389,4.68823794857558,1.43653496823969,0.306412554993322,1.20133934489973,1.41085899516421
4096,5,3,202.642639,43.223625,117.858994,23.829622,17.951889,4.68823794857558,1.71936508299061,0.366740148825638,1.81386112629063,2.40774800913709
4096,10,4,202.642639,43.223625,62.999897,11.912765,6.633986,4.68823794857558,3.21655508420911,0.68609040741765,3.62834530858285,6.5154833006883
4096,20,5,202.642639,43.223625,31.306774,4.453778,4.032535,4.68823794857558,6.4728048632542,1.3806476834694,9.70493477672214,10.7187228381155
4096,40,6,202.642639,43.223625,15.673621,4.103247,3.179989,4.68823794857558,12.9288974768498,2.75773064820184,10.5340051427565,13.5923819233337
4096,60,7,202.642639,43.223625,10.511638,5.57841,3.699929,4.68823794857558,19.2779316601276,4.11197807610955,7.74837722576863,11.6822849843875
8192,1,1,1948.797729,304.087219,1924.194702,1131.942505,390.43219,6.40868016554158,1.01278614215829,0.158033497693312,0.268641929830173,0.778847714887443
8192,2,2,1948.797729,304.087219,1079.068604,772.31366,208.022079,6.40868016554158,1.80599984261983,0.281805269723147,0.393735388546669,1.46180261471187
8192,5,3,1948.797729,304.087219,948.004272,628.829163,140.58992,6.40868016554158,2.05568454337092,0.320765663174142,0.483576839135878,2.16293756337581
8192,10,4,1948.797729,304.087219,517.057434,325.910248,46.529575,6.40868016554158,3.76901597550573,0.588111105274235,0.933039758234298,6.53535346067528
8192,20,5,1948.797729,304.087219,251.516815,162.789978,26.814177,6.40868016554158,7.74818068923145,1.20901347689219,1.86797260332574,11.3405389619081
8192,40,6,1948.797729,304.087219,125.705566,80.557571,22.415005,6.40868016554158,15.5028754176247,2.41904339383031,3.77478137964214,13.5662347164321
8192,60,7,1948.797729,304.087219,85.712715,55.769402,24.850794,6.40868016554158,22.7363901493495,3.54774923417138,5.45258166834925,12.2365192436105
